380    18 28 14.6   2.0  48 41.2   2.0   77   24    57. *   <20. "
381    18 32 28.    2.   47 24.    4.    76   23    12.5*   <20. "
382    18 33 12.0   3.0  32 39.2   3.0   61   17    20.       1.8' 1.0
386    18 36 11.9   1.0  17 07.2   1.5   47   11    24.       1.8' 0.7
388    18 42 37.    3.   45 32.    3.    75   20    22. *   <40. "
390    18 43 12.    3.   09 49.    4.    41    6    19.0*   <40. "
389    18 43 41.    7.  -03 23.   12.    29    0    21.       3.3' 2.0  Flux uncertain.
390.1  18 44 00.   24.   06 36.   60.    38    4    51.      45. '10.   M.S.H. resolve into two sources: 18+09, 18+010.
390.2  18 45 12.   24.  -03 12.   45.    30   -1   110.      35. '10.
390.3  18 46 12.   36.   80 00.   45.   112   27    44.       1.9' 1.5
391    18 46 47.    5.  -00 59.    6.    32    0    24.       2.0' 2.0  Flux uncertain.
392    18 53 34.    2.   01 14.    3.    35    0   400.      16. ' 3.
394    18 57 02.    6.   12 56.    7.    45    4    12.0*   < 1.0'
396    19 01 35.7   5.0  05 23.5   5.0   39    0    22.       3.0' 2.0  Flux uncertain.
396.1  19 04 30.   18.  -03 12.   45.    32   -5    30.      35. '10.
397    19 05 07.3   5.0  07 04.7   5.0   41    0    28.       3.0' 2.0  Flux uncertain.
398    19 08 44.0   1.5  09 00.7   3.0   43    0    55.       3.3' 1.5) Confusing source precedes at same DE. Flux uncertain. Complex brightness distribution.
399.1  19 13 59.4   3.0  30 12.4   3.0   63    9    12.5    < 2.5'
399.2  19 15 42.   18.   10 36.   90.    46   -1    19.0                5'<d<15'  Flux uncertain.
400    19 21 30.   24.   14 24.   45.    50    0   540.      60.0'12. 
400.1  19 22 48.   12.   35 54.   45.    69    9    16.5                4'<d<10'
400.2  19 36 30.   18.   17 24.   45.    54   -2    22.      25. ' 8.
401    19 39 37.   10.   60 35.    3.    93   18    19.0*   <40. "
402    19 40 26.7   3.0  50 29.5   3.0   83   13    13.0      2.7' 1.0
403    19 49 43.6   5.0  02 29.4   5.0   42  -12    26.       1.5' 1.5
403.1  19 49 54.   18.  -02 00.   60.    39  -14    12.5                4'<d<10'
403.2  19 52 00.   30.   31 54.   60.    68    2    50.      36. '10.   Possibly more extended in declination.
405    19 57 45.3   1.0  40 36.0   1.0   76    6  8100.                 For angular structure, see e.g. Jennison and Latharn, 1959MNRAS.119..174J
409    20 12 18.5   1.0  23 25.3   2.0   63   -6    73. *   <30. "    
409.1  20 18 00.   36.   45 12.  120.    82    5   230.      55. '15.   Part of Cyg. X.
410    20 18 02.7   3.0  29 32.4   3.0   69   -4    32. *   <12. "
410.1  20 19 36.   30.   40 06.  120.    78    2   410.      58. '15.   Part of Cyg. X.
411    20 19 47.    5.   09 59.    8.    53  -15    14.0*   <30. "
415.1  20 31 06.   24.   43 18.   90.    82    2    24.      12. ' 7.   Flux and diameter doubtful.
415.2  20 31 20.8   3.0  53 34.6   3.0   90    8    10.0    < 3.0'
416.1  20 33 24.   36.   46 52.    6.    85    4    60.      40. '15.   Positions from Westerhout, 1958BAN....14..215W, Cat. <VIII/64>. Flux densities uncertain. Westerhout resolves 3C416.2 into 2 components.
416.2  20 34 00.   36.   41 33.   18.    81    1   160.      40. '20.   Positions from Westerhout, 1958BAN....14..215W, Cat. <VIII/64>. Flux densities uncertain. Westerhout resolves 3C416.2 into 2 components.
418    20 37 07.1   3.0  51 07.1   3.0   89    6    12.5*   < 3. "
419.1  20 39 06.   30.   42 06.   60.    82    0    74.      45. '10.
424    20 45 44.4   5.0  06 53.4   5.0   54  -22    12.5*   <40. "
427.1  21 05 12.   30.   76 36.   45.   111   19    23.     < 2.0'
428    21 06 45.2   3.0  49 21.9   3.0   91    1    19.0    < 2.5'
430    21 16 57.    5.   60 35.    3.   100    8    29.     < 1.8'
431    21 17 12.5   3.0  49 21.6   3.0   92    0    21.     < 1.5'
432    21 20 26.2   3.0  16 52.4   5.0   68  -23    11.5*   <40. "
433    21 21 32.1   1.0  24 52.7   1.0   75  -18    52.     <30. "
434    21 21 45.    8.   15 49.   12.    67  -24    10.5    < 3.5'      Flux uncertain.
434.1  21 23 06.   12.   51 48.   60.    94   11    23.                 4'<d<12'  Flux uncertain.
435    21 26 39.    5.   07 27.   10.    61  -30     9.5*   <40. "
435.1  21 35 12.   30.   84 24.   45.   118   24    12.0    < 3.0'
436    21 41 59.1   3.0  27 55.7   3.0   80  -19    15.0*   <40. "
437    21 45 00.    3.   15 03.    5.    71  -28    10.5*   <40. "
437.1  21 48 24.   12.   13 42.   45.    70  -30     5.0                2.5'<d<10'
438    21 53 45.5   1.0  37 45.8   1.0   89  -13    37. *   <40. "
441    22 03 50.1   1.0  29 16.7   1.5   85  -21    13.0*   <40. "
442    22 12 56.   12.   13 35.   12.    75  -34    20.                 4'<d<10'
445    22 21 13.1   1.0 -02 24.6   4.0   62  -47    23.       1.9' 1.0  Double.
449    22 29 09.    6.   38 57.    7.    95  -16    13.5      3.0' 1.5
452    22 43 33.5   2.0  39 24.7   1.5   98  -17    49.       3.2' 0.7
454    22 49 09.6   3.0  18 33.9   5.0   87  -36     9.0    < 3.0'
454.1  22 49 36.   24.   71 36.   45.   114   11     9.5    < 3.0'
454.2  22 50 24.   18.   64 48.   45.   111    5    10.5    < 3.0'
454.3  22 51 42.   12.   15 00.   45.    86  -39    15.0    < 2.5'
455    22 52 42.    8.   13 12.    7.    85  -41    13.0      2.5' 1.5
456    23 10 04.   10.   09 06.   12.    86  -46    13.0    < 3.0'
458    23 10 20.3   5.0  05 06.0   5.0   83  -50    10.0      2.2' 1.5
459    23 14 02.8   5.0  03 55.0   5.0   83  -51    22. *   < 3. "
460    23 19 00.3   3.0  23 32.1   3.0   98  -35     9.5    < 2.5'
461    23 21 10.6   2.0  58 33.1   1.0  112   -2 11000.                 For  angular structure, see e.g. Jennison and Latham, 1959MNRAS.119..174J
465    23 36 01.0   1.5  26 40.2   1.5  104  -33    35.       4.0' 1.0  Double.
468.1  23 48 36.   18.   64 24.   45.   117    3    34.     < 2.5'
469.1  23 53 30.   36.   79 48.   45.   120   18    11.5    < 3.0'
470    23 56 04.1   3.0  43 49.6   3.0  113  -18     9.0    < 2.5'
