   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 27 57.18 +66 36 31.5   2.12
00 27 58.60 +13 57 38.2   1.68
00 27 58.85 -08 55  9.3   2.98
00 28  0.82 +04 09  5.1   0.47
00 28  0.83 +57 36 54.6   4.57
00 28  0.96 +29 37 21.3   0.45
00 28  1.21 +35 47 33.6   1.24
00 28  3.00 +23 36 37.0   1.81
00 28  4.51 +24 48 33.9   0.41
00 28  5.62 -02 39  6.6   1.03
00 28  5.65 +09 44 56.1   0.70
00 28  6.03 +21 31 12.6   0.96
00 28  6.53 +47 27 14.3   0.61
00 28  8.59 -12 33 47.7   1.00
00 28  9.83 -28 24 20.4   0.65
00 28 10.52 +56 53 25.3   1.06
00 28 11.28 +19 22 16.8   0.52
00 28 11.44 +57 56 45.8   0.90
00 28 11.48 +31 03 32.0   1.46
00 28 11.91 -05 57 18.9   1.78
00 28 13.33 +14 50 33.0   0.43
00 28 14.09 +37 38 14.7   5.10
00 28 14.36 -02 49 30.5   1.43
00 28 16.14 +31 24 28.3   0.94
00 28 16.88 -04 28 28.0   0.89
00 28 17.31 +29 14 30.3   2.06
00 28 18.31 +37 47 41.2   1.18
00 28 19.03 +22 52  8.9   1.18
00 28 20.26 +47 50 46.5   0.60
00 28 21.08 +22 32 20.3   0.84
00 28 22.68 +41 45 51.4   0.89
00 28 22.93 -12 41 14.1   0.91
00 28 23.04 -17 06 58.8   3.95
00 28 23.23 +01 11 57.0   1.43
00 28 23.49 -07 22 24.7   0.86
00 28 23.70 -12 16 45.5   1.20
00 28 24.73 +15 42  3.5   2.56
00 28 25.12 -00 27 29.7   3.88
00 28 25.24 +26 37 14.5   1.76
00 28 25.84 +74 03 27.0   0.81
00 28 26.36 -28 01 19.4   2.17
00 28 26.55 +21 17 24.0   9.09
00 28 26.79 +35 39 42.5   3.46
00 28 27.23 -04 52 37.1   1.05
00 28 27.64 -23 09 24.5   0.62
00 28 27.72 +48 29 20.8   0.97
00 28 28.48 +40 39 48.5   0.70
00 28 28.87 -29 34 32.6   3.86
00 28 29.77 +20 00 23.5   0.37
00 28 30.15 -06 54 12.1   2.46
00 28 30.38 +23 39 52.3   2.31
00 28 30.42 +17 07 45.2   0.66
00 28 30.78 -00 25 46.7   6.22
00 28 32.73 +29 10 30.5   1.31
00 28 32.87 -06 59 10.6   0.72
00 28 33.07 +00 55 11.6   4.03
00 28 33.96 +32 18 11.1   0.85
00 28 34.36 +65 53 44.1   1.10
00 28 34.57 -24 47 26.3   1.18
00 28 34.80 +07 36 17.9   1.42
00 28 34.99 +61 34 32.4   2.45
00 28 38.53 +38 36 10.0   1.43
00 28 39.03 +17 34 44.2   0.41
00 28 39.04 +00 35 49.0   1.77
00 28 39.66 +14 16 38.9   1.13
00 28 39.83 -13 52 40.4   0.68
00 28 40.19 -13 51 16.8   1.55
00 28 42.42 -15 13  8.0   2.32
00 28 42.78 -00 27 47.8   0.61
00 28 43.12 +08 11 15.9   1.83
00 28 43.17 +00 45 36.6   0.99
00 28 43.67 +28 44 47.1   0.67
00 28 43.77 +25 46  5.7   0.55
00 28 47.28 +14 58 17.3   1.58
00 28 47.55 -14 36 47.6   1.66
00 28 48.86 +47 07 48.4   0.45
00 28 49.54 +16 26 22.6   0.58
00 28 49.56 -09 53 19.2   0.84
00 28 49.84 +43 10 38.9   0.62
00 28 50.19 -11 27 29.2   2.58
00 28 50.30 +10 35 23.9   0.59
00 28 50.60 +13 14  3.0   3.97
00 28 51.18 +79 58 57.4   3.10
00 28 51.66 +15 04 44.2   0.39
00 28 52.11 +05 42  7.4   0.71
