Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
320.48779| 38.78093|    1096.6|            32.9
 83.08482| -8.61576|    1097.0|            35.8
321.26249| 31.97265|    1097.1|            32.9
352.93649| -5.87367|    1098.0|            38.5
321.37252| 23.12082|    1098.2|            34.3
 63.07987|-61.24844|    1098.4|            33.0
344.32719| 81.64682|    1098.7|            33.0
 46.14423| -3.75540|    1099.0|            35.3
178.07490|-48.49127|    1099.0|            33.0
 31.63764| 83.12475|    1099.2|            33.0
129.43008| 26.64867|    1099.7|            33.0
143.29597| 22.71855|    1100.4|            33.0
 26.31340| 72.33999|    1100.5|            33.0
278.89214| 21.21796|    1101.3|            34.2
 50.56866| 16.55272|    1101.5|            38.1
200.86373| 31.51750|    1101.6|            33.1
355.14846|-13.81853|    1101.6|            33.1
158.78710| 38.93227|    1101.7|            33.1
 28.35474|-61.38956|    1102.2|            33.1
203.54393| -0.27204|    1102.5|            33.1
 90.11712|-25.64866|    1102.9|            33.1
337.69416| 18.06682|    1103.0|            37.9
103.82158|-45.11003|    1103.9|            33.1
118.88634|  6.88930|    1104.1|            33.1
127.03029|-47.90342|    1104.4|            33.1
230.05384|-41.72756|    1104.4|            36.4
179.20779| 23.06286|    1104.7|            33.1
 49.50887|-83.32597|    1104.8|            38.1
191.83556| 74.96603|    1105.0|            38.8
177.29566|-22.24425|    1105.6|            34.6
272.46522| 31.50803|    1105.6|            33.2
  9.57811| 37.67636|    1105.9|            33.2
 94.11052|-21.87676|    1106.1|            37.7
173.89612| 33.17014|    1106.1|            33.2
174.69802| 20.60652|    1106.2|            36.4
126.84105|-30.33986|    1106.5|            33.6
339.58419| 24.40628|    1106.9|            33.2
157.00432| 41.61582|    1107.3|            33.2
 70.26274|-30.06182|    1107.7|            33.2
292.90486| 27.98544|    1108.1|            33.2
 38.39981| 40.71873|    1108.4|            33.3
 86.86197| 21.49904|    1108.6|            38.0
259.31368| 26.71618|    1110.1|            36.4
 16.73683|  0.08472|    1110.1|            34.0
130.88589| 35.95762|    1110.6|            37.2
185.22978| 43.18897|    1111.2|            38.3
  0.51068| -0.25923|    1111.8|            33.9
128.03827| 43.60692|    1112.0|            38.6
242.27832| 63.91729|    1112.2|            33.4
 18.30303| -0.39021|    1112.2|            39.2
 46.99965| -9.12705|    1112.3|            33.4
175.06697|-19.23534|    1112.7|            33.4
270.95219| 24.84599|    1112.8|            33.4
135.61725| 12.22629|    1113.0|            36.1
 21.37747| 49.92101|    1113.1|            33.4
 41.51044| 64.49040|    1113.9|            33.4
274.51042| 32.25413|    1114.2|            37.7
169.16410| 32.56477|    1114.5|            33.4
 53.32809| 19.75565|    1115.1|            35.3
 15.42417| -0.61202|    1115.2|            34.2
 12.36429| -5.22299|    1115.7|            33.5
  0.77856| -9.20370|    1116.0|            38.7
282.49213| 65.18736|    1116.3|            42.5
209.98922| 51.10306|    1116.3|            37.0
 63.18525| 21.26005|    1116.9|            33.5
258.99739| 21.81034|    1118.0|            38.3
  3.46574|  6.41499|    1118.2|            33.5
208.18799|-25.74278|    1119.1|            38.1
246.62368| -9.30964|    1119.2|            41.0
334.57224| 53.72778|    1119.6|            33.6
338.39939| 23.87681|    1119.8|            36.5
166.89929| 15.69882|    1120.9|            33.6
233.16451|-33.32269|    1121.8|            34.2
314.51384| 69.20515|    1122.0|            36.1
180.85159| 56.87801|    1122.6|            33.7
145.26595|-41.19391|    1123.2|            33.7
 28.15961| 14.26233|    1125.4|            33.8
121.68981| -5.70624|    1125.6|            33.8
 55.68901|  6.31472|    1127.0|            33.8
179.69686| -7.68224|    1127.4|            34.3
314.30191| 24.14570|    1127.4|            39.8
169.07905| -0.24283|    1127.4|            37.0
210.49978|-63.25055|    1127.9|            33.8
347.90048|  0.04638|    1128.3|            38.6
128.00076|-46.83527|    1128.9|            33.9
228.12261|-68.75852|    1129.0|            33.9
191.04884| 15.19111|    1129.6|            33.9
 17.41418| 41.58275|    1129.7|            33.9
236.97554|-14.58553|    1130.3|            37.4
328.93932| 47.71710|    1130.7|            34.9
231.99238| 25.73097|    1131.0|            34.8
192.69798|-53.63878|    1131.2|            38.5
 68.53135|-27.53657|    1131.5|            33.9
 54.09371| -0.07160|    1131.7|            34.5
184.26607| -5.52750|    1131.8|            34.5
217.11187|  6.21911|    1131.9|            39.8
 21.83161| 21.79264|    1132.5|            40.0
182.26206|-35.72671|    1132.9|            39.7
209.12061|-19.01550|    1133.5|            34.5
357.73036|  6.99341|    1133.9|            39.7
 27.20830| 34.30906|    1134.1|            34.0
181.35516| -5.19350|    1134.6|            34.0
155.96246| 22.58392|    1135.1|            34.1
160.61938| 72.03656|    1135.6|            34.1
 85.79966| -0.65484|    1135.6|            36.4
118.82688| 17.11081|    1136.1|            34.1
120.64396| 10.72737|    1136.1|            34.1
130.78832|-14.31774|    1137.5|            34.1
 61.12731|-67.17296|    1137.8|            40.1
110.19104| 51.59496|    1140.1|            37.2
 12.33259| 23.04220|    1140.2|            38.1
 52.51281|-10.74552|    1141.4|            34.2
337.94184| 55.75707|    1142.7|            36.7
239.03436| 71.09210|    1143.3|            38.5
  3.48609| 27.80064|    1143.4|            36.6
304.55144| 30.93024|    1143.7|            34.3
194.53317|-26.40588|    1143.7|            39.0
189.56791|-10.46844|    1143.8|            38.4
195.50988|-27.74386|    1144.7|            34.3
 73.27647| 33.86332|    1145.0|            39.5
 42.90401| 22.18202|    1145.0|            34.4
198.40754| 72.96604|    1145.5|            40.4
274.21383| 64.39569|    1146.1|            34.4
 77.23646| -3.23692|    1146.4|            38.6
143.56666| 44.75130|    1146.5|            40.0
354.30206| 31.64938|    1146.8|            38.3
 33.88751|  7.38341|    1147.1|            35.9
220.22663|  9.50381|    1148.0|            34.4
  0.95842| -0.05027|    1148.0|            35.0
238.61563|-60.38489|    1148.2|            40.4
336.27071| 61.40041|    1148.7|            34.5
192.04158|-31.10239|    1149.6|            34.5
127.66566| 13.18332|    1150.3|            34.5
237.74283|-48.48319|    1150.7|            34.5
 24.54025| -0.23996|    1151.4|            35.2
208.81717|-19.35518|    1152.4|            35.1
221.64050|-69.57169|    1153.2|            40.6
 91.13000|  8.98862|    1153.3|            40.8
 74.48765|-17.69118|    1153.6|            38.7
335.44987| 23.10665|    1153.9|            39.4
184.19120| -7.21153|    1154.6|            34.6
 93.59423|-49.73438|    1154.8|            36.2
 28.03840|-56.16869|    1154.8|            34.6
266.75182| 34.90543|    1155.1|            34.7
 66.33901|-51.55955|    1155.8|            34.7
235.34887|-40.57374|    1155.9|            34.7
211.28024| 29.26045|    1156.4|            38.6
148.01285| 68.75730|    1156.5|            34.7
234.99116| 23.34304|    1156.6|            34.7
 37.42755| -7.44184|    1157.0|            40.6
 74.97793|  1.15038|    1157.4|            35.4
178.83353|  2.64892|    1158.1|            38.9
216.45488| 48.36348|    1158.5|            34.8
352.38094|  5.22203|    1158.7|            39.8
 32.16190|  6.43011|    1158.9|            37.4
 10.76287| 23.47804|    1159.4|            34.8
283.74321| 73.73609|    1160.6|            39.7
243.29722|-45.40063|    1161.4|            34.8
304.45139| 32.49130|    1161.5|            41.7
228.29927|-28.24093|    1161.9|            34.9
103.59699|-27.89919|    1162.0|            34.9
109.26277| 31.04316|    1162.5|            34.9
182.35538| -0.62076|    1162.5|            37.9
101.92354|-18.00440|    1162.9|            34.9
140.69147| -8.80160|    1163.1|            34.9
 45.13216|-46.17657|    1164.0|            39.0
106.31808|-62.82745|    1164.0|            34.9
 70.43393|  7.66029|    1164.1|            34.9
331.68182| 39.40111|    1165.0|            35.0
301.61849| 37.06315|    1165.2|            35.0
 15.02228| -1.06238|    1165.6|            35.7
222.34767| 48.12868|    1166.4|            40.7
 78.22144|  1.78312|    1167.0|            36.0
  7.51276| 16.25605|    1167.6|            41.2
  9.36173| 36.89380|    1168.0|            35.0
296.22674| 24.79977|    1168.5|            40.2
 38.46720| 85.60969|    1169.9|            37.4
161.25124|-79.61231|    1170.3|            44.5
105.28582| 27.84904|    1170.6|            40.9
129.60251| 33.94728|    1171.0|            39.2
 53.25625| 47.01566|    1171.1|            41.3
133.88704|  4.38133|    1171.6|            41.4
184.44468| -6.05296|    1171.6|            37.8
238.07213|-25.05195|    1172.5|            38.9
139.88213|-39.86321|    1172.7|            35.2
112.03183| -2.24533|    1173.1|            41.0
 82.28551|-80.89467|    1173.5|            35.2
 91.44315| 70.82861|    1173.6|            41.4
348.71415|  0.39444|    1173.9|            37.6
265.13574| 50.53220|    1174.4|            41.4
135.58695|-80.47160|    1174.5|            35.2
184.47507| -5.62422|    1174.8|            35.8
159.03908|-69.32670|    1175.3|            35.3
244.73910|-25.59713|    1176.2|            40.6
169.05468| -7.57188|    1177.3|            41.4
287.38532| 38.81254|    1177.9|            35.3
228.46751|-45.45722|    1180.9|            37.6
201.39237|-79.28527|    1181.2|            40.7
 18.16575| 10.82327|    1181.4|            35.4
109.28314|-28.42994|    1181.7|            37.8
153.60475| 19.14771|    1182.0|            35.5
348.48650|  0.12619|    1182.9|            38.3
 28.69505|  0.04800|    1183.4|            36.6
167.10309|-55.21619|    1183.8|            41.8
180.29985| 66.22275|    1184.2|            40.7
134.58183|-50.35558|    1184.2|            35.5
